id;source;type_texte;numero;date_publication;date_jort;numero_jort;ministere;domaine_juridique;risque_conformite;obligations_legales;penalites_potentielles;textes_references;titre;type_operation;contenu_resume;acteurs;mots_cles;zone_geographique;superficie_m2;superficie_texte;titre_foncier;tpd;beneficiaire;destination;prix_cession_TND;double_marche_dinars_devises;investissement_etranger;logement_social;zone_industrielle;commission_pct_min;commission_pct_max;montant_TND_min;montant_TND_max;unite_tarif;negociable;gouvernorat_stats_logements_milliers;gouvernorat_pct_parc_national;gouvernorat_augmentation_nette_2014_2024_milliers;gouvernorat_taux_croissance_10ans_pct;gouvernorat_pression_immobiliere;taux_logements_occupes_pct;taux_branchement_electricite_pct;taux_branchement_eau_pct
le marchepied ou chemin de halage conformément aux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
règlements.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"16""";propriétaire;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_29;droits_reels;article;29;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
riverain vers un fonds inférieur peuvent; s'ils sont reconnaissables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
être réclamés par leur propriétaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sa demande dans l'année qui suit; passé ce délai; il n'y sera plus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
recevable; sauf si le propriétaire du fonds auquel la partie enlevée a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
été unie;" n'en a pas encore pris possession.""";propriétaire;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_30;droits_reels;article;30;;;;;Droits Réels / Propriété;FAIBLE;Immatriculation foncière ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lacs; des marais et des étangs retournent à leurs propriétaires;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"une fois les eaux retirées.""";propriétaire;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_31;droits_reels;article;31;;;;;Droits Réels / Propriété;FAIBLE;Immatriculation foncière ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
son ancien lit; chaque riverain peut acquérir la propriété de la;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
partie de cet ancien lit prolongeant son propre fonds; jusqu'à;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
une ligne fictive marquant le milieu de la rivière. Le prix en est;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fixé par des experts nommés par le Président du tribunal de la;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
situation des lieux; à la requête du gouverneur de la région.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A défaut par les propriétaires riverains de déclarer; dans les;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trois mois de la notification qui leur serait faite par le;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"go""";propriétaire;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_32;droits_reels;article;32;;;;;Droits Réels / Propriété;FAIBLE;Immatriculation foncière ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
un fonds et en fait une île; le propriétaire de ce fonds en;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
conserve la propriété.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"17""";propriétaire;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_33;droits_reels;article;33;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
poissons des étangs qui changent spontanément de gîte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
appartiennent au propriétaire du nouveau gîte à moins qu'ils n'y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aient été attirés par fraude ou artifice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Section II;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"De l'accession artificielle""";propriétaire;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_34;droits_reels;article;34;;;;;Urbanisme / Construction;FAIBLE;Permis de construire obligatoire ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
surface d'un fonds ou dans le sol; sont présumés avoir été faits;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
par le propriétaire à ses frais et lui appartenir; si le contraire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"n'est prouvé.""";propriétaire;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_35;droits_reels;article;35;;;;;Urbanisme / Construction;FAIBLE;Permis de construire obligatoire ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
plantations et ouvrages avec des matériaux qui ne lui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
appartenaient pas; doit en payer la valeur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
condamné à des dommages-intérêts; s'il y a lieu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"propriétaire des matériaux n'a pas le droit de les enlever.""";propriétaire;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_36;droits_reels;article;36;;;;;Urbanisme / Construction;FAIBLE;Permis de construire obligatoire ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
faits par un tiers et avec ses matériaux mais sans le;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
consentement du propriétaire du fonds; ce dernier a le droit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
de les conserver; soit de contraindre leur auteur à les enlever.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Si le propriétaire du fonds en demande la suppression; celle-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ci est faite aux frais de leur auteur; sans aucune indemnité;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
peut; en outre; être condamné à des dommages-intérêts pour le;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
préjudice que peut avoir subi le propriétaire du fonds.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Si;" au """;propriétaire;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_37;droits_reels;article;37;;;;;Urbanisme / Construction;FAIBLE;Permis de construire obligatoire ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ouvrages sur son fonds; empiète de bonne foi sur une petite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
portion du fonds voisin; le tribunal pourra le déclarer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
propriétaire de cette portion moyennant une indemnité;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
équitable.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chapitre III;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De la prescription;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Section Première;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"De la possession""";propriétaire;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_38;droits_reels;article;38;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sur un droit ou sur une chose soit par elle-même; soit par;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"l'intermédiaire d'autrui.""";Non spécifié;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_39;droits_reels;article;39;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
peuvent asseoir la possession.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"19""";Non spécifié;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_40;droits_reels;article;40;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"tous ses caractères.""";Non spécifié;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_41;droits_reels;article;41;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
à l'origine;" sauf preuve contraire.""";Non spécifié;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_42;droits_reels;article;42;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chose; tous les fruits naturels et civils qu'il a perçus ou qu'il;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aurait pu percevoir; s'il avait administré d'une manière normale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
depuis le moment où la chose lui est parvenue; il n'a droit qu'au;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
remboursement des dépenses nécessaires à la conservation de la;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chose et à la perception des fruits. Les frais de restitution de la;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"chose sont à sa charge.""";Non spécifié;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_43;droits_reels;article;43;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
elle est perdue ou détruite; même par cas fortuit ou de force;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
majeure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chose lui est parvenue. S'il s'agit de choses fongibles; il devra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
restituer une quantité équivalente.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lorsque la chose a été seulement détériorée; il devra la;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
différence entre la valeur de la chose à l'état sain et sa valeur à;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
l'état où elle se trouve. Il devra la valeur entière; lorsque la;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"détérioration est de """;Non spécifié;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_44;droits_reels;article;44;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
de restituer que ceux qui existent encore au moment où il est;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
assigné en restitution de la chose; et ceux qu'il a perçus depuis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ce moment.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Il doit; d'autre part; supporter les frais d'entretien et ceux de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
perception des fruits.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Le possesseur de bonne foi est celui qui possède en vertu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d'un titre dont il ignore les vices.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Section II;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Des effets de la possession; la prescription acquisitive ou;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"l'usucapion""";Non spécifié;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_45;droits_reels;article;45;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
immeuble ou un droit réel immobilier; pendant quinze ans et à;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
titre de propriétaire; une possession paisible; publique; continue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
non interrompue et non équivoque.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La possession entachée d'un vice ne produit d'effets que;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lorsque le vice a cessé.""";propriétaire;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_46;droits_reels;article;46;;;;;Droits Réels / Propriété;FAIBLE;Immatriculation foncière ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
possession est acquise de bonne foi; et en vertu d'un acte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
juridique qui aurait transféré la propriété s'il était émané du;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
véritable propriétaire.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La bonne foi s'apprécie au moment où la possession a été;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"acquise.""";propriétaire;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_47;droits_reels;article;47;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"est élevée à trente ans.""";propriétaire;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_48;droits_reels;article;48;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
présumer la possession dans le temps intermédiaire; sauf preuve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
contraire.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"21""";Non spécifié;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_49;droits_reels;article;49;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
peut point se changer à soi-même le fondement de sa possession.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Toutefois; on peut prescrire s'il y a interversion du titre; soit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
par le fait d'un tiers; soit par suite de la contradiction opposée;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
par le possesseur au droit du propriétaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"prescription ne court qu'à partir de l'interversion du titre.""";propriétaire;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_50;droits_reels;article;50;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_51;droits_reels;article;51;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
relatives au calcul et à la suspension des délais de la;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
prescription extinctive; au moyen tiré de la prescription et à la;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
renonciation à celle-ci;" s'appliquent à la prescription acquisitive.""";Non spécifié;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_52;droits_reels;article;52;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1) par une demande faite devant le tribunal compétent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
l'interruption est non avenue; si la demande est rejetée en la;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
forme ou au fond; si le demandeur se désiste ou s'il est rendu un;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jugement de péremption d'instance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) ou par la reconnaissance que le possesseur fait du droit de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
celui contre lequel il prescrivait.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Section III;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"De la possession des meubles""";Non spécifié;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_53;droits_reels;article;53;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ensemble de meubles est présumé avoir acquis cette chose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
régulièrement; sauf à celui qui allègue le contraire à le prouver.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N'est pas présumé de bonne foi; celui qui savait ou devait;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
savoir; au moment où il a reçu la chose; que celui dont il l'a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"reçue n'avait pas le droit d'en disposer.""";Non spécifié;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_54;droits_reels;article;54;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volés; peut les revendiquer entre les mains du possesseur.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Si le possesseur est de bonne foi au moment de la;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
possession; l'action en restitution se prescrit par trois ans à dater;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
du jour de la perte ou du vol.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lorsque le possesseur de la chose perdue ou volée l'a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
achetée; de bonne foi; dans une foire; au cours d'une vente aux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
enchères publiques ou chez un marchand de choses semblables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"il peut exiger de celui qui la revendique le rembo""";propriétaire;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_55;droits_reels;article;55;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
par son travail; transformé de manière à lui donner une plus-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
value considérable par rapport à la matière première; il pourrait;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
le retenir à charge de rembourser la valeur de la matière;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
première et une indemnité à arbitrer par le tribunal; lequel devra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tenir compte de tout intérêt légitime du possesseur primitif; fût-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
il moral. Cependant; le possesseur primitif aura la faculté de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"prendre la chose transformée en remboursant au possesseu""";Non spécifié;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_56;droits_reels;article;56;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
même bien ou titulaires d'un même droit réel et que le droit de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chacune d'elles porte sur l'ensemble et non sur une portion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
déterminée de la chose commune; elles se trouvent en état;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"d'indivision.""";propriétaire | municipalité;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_57;droits_reels;article;57;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sauf preuve contraire.""";Non spécifié;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_58;droits_reels;article;58;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
proportion de son droit; pourvu qu'il n'en fasse pas un usage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
contraire à sa nature ou à sa destination et qu'il ne s'en serve pas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
contre l'intérêt des autres coindivisaires; ou de manière à les;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"empêcher de s'en servir suivant leur droit.""";municipalité;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_59;droits_reels;article;59;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
constituer en nantissement et en disposer à titre onéreux ou;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gratuit;" à moins qu'il n'ait qu'un droit personnel.""";Non spécifié;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_60;droits_reels;article;60;;;;;Logement Social / Location;FAIBLE;Respect FPLS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
coindivisaires n'a droit qu'aux produits de la chose; en;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
proportion de sa quote-part;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
compte commun nonobstant toute opposition.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"24""";Non spécifié;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_61;droits_reels;article;61;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
produits de la chose commune par lui perçus pour ce qui excède;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sa quote-part.""";municipalité;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_62;droits_reels;article;62;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chose commune sans le consentement; exprès ou tacite; des;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
autres. En cas de contravention; en suivant les règles ci-après :;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1) Lorsque le partage en nature est possible; il y sera;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
procédé. Si la partie sur laquelle l'innovation a été faite tombe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dans le lot d'un autre coindivisaire; celui-ci peut; soit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
contraindre son coindivisaire; à remettre; à ses frais; les choses;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
en l'état et; le cas échéant; à réparer le préjudice qu'il peut avoir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"é""";municipalité;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_63;droits_reels;article;63;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
intérêts; de veiller à la conservation de la chose commune avec;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
la même diligence qu'il apporte à la conservation de ses biens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
propres.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"25""";municipalité;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
droits_reels_art_64;droits_reels;article;64;;;;;Réglementation Générale;FAIBLE;Respect législation en vigueur ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
contribuer avec lui; en proportion de leur quote-part; aux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dépenses nécessaires pour conserver la chose commune et;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"l'entretenir en état de servir à l'usage auquel elle est destinée.""";municipalité;;National;;;;;;;;False;False;False;False;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;
